timestamp,src_ip,src_port,dst_ip,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,tot_fwd_bytes,tot_bwd_bytes,flow_pkt_rate,flow_byte_rate,syn_flag_cnt,rst_flag_cnt,ack_flag_cnt,label
2026-09-05 10:00:00,192.168.1.10,49152,10.0.0.1,80,6,120000,5,6,450,1200,91.67,13750.0,1,0,5,BENIGN
2026-09-05 10:00:05,192.168.1.11,49153,10.0.0.2,443,6,85000,8,12,850,4500,235.29,62941.18,1,0,10,BENIGN
2026-09-05 10:00:09,192.168.1.10,53535,8.8.8.8,53,17,15000,1,1,64,128,133.33,12800.0,0,0,0,BENIGN
2026-09-05 10:00:15,192.168.1.12,49154,10.0.0.1,80,6,95000,4,5,380,890,94.74,13368.42,1,0,4,BENIGN
2026-09-05 10:00:22,192.168.1.10,49155,10.0.0.3,443,6,110000,6,7,510,1400,118.18,17363.64,1,0,6,BENIGN
2026-09-05 10:00:30,192.168.1.15,49160,10.0.0.1,80,6,45000,2,2,120,240,88.89,8000.0,1,0,2,BENIGN
2026-09-05 10:00:38,192.168.1.11,49161,10.0.0.2,443,6,60000,7,9,620,3100,266.67,62000.0,1,0,8,BENIGN
2026-09-05 10:00:45,192.168.1.10,54120,8.8.4.4,53,17,12000,1,1,64,140,166.67,17000.0,0,0,0,BENIGN
2026-09-05 10:00:52,192.168.1.14,49162,10.0.0.1,80,6,78000,3,4,290,750,89.74,13333.33,1,0,3,BENIGN
2026-09-05 10:00:58,192.168.1.12,49163,10.0.0.3,443,6,105000,5,8,480,2100,123.81,24571.43,1,0,7,BENIGN
2026-09-05 10:01:02,172.16.0.50,38100,10.0.0.1,21,6,500,1,0,40,0,2000.0,80000.0,1,1,0,PortScan
2026-09-05 10:01:03,172.16.0.50,38101,10.0.0.1,22,6,480,1,0,40,0,2083.33,83333.33,1,1,0,PortScan
2026-09-05 10:01:05,172.16.0.50,38102,10.0.0.1,23,6,510,1,0,40,0,1960.78,78431.37,1,1,0,PortScan
2026-09-05 10:01:07,172.16.0.50,38103,10.0.0.1,25,6,490,1,0,40,0,2040.82,81632.65,1,1,0,PortScan
2026-09-05 10:01:10,172.16.0.50,38104,10.0.0.1,80,6,1200,2,1,80,40,2500.0,100000.0,1,0,1,PortScan
2026-09-05 10:01:12,172.16.0.50,38105,10.0.0.1,443,6,1100,2,1,80,40,2727.27,109090.91,1,0,1,PortScan
2026-09-05 10:01:15,172.16.0.50,38106,10.0.0.1,3389,6,460,1,0,40,0,2173.91,86956.52,1,1,0,PortScan
2026-09-05 10:01:18,172.16.0.50,38107,10.0.0.1,8080,6,520,1,0,40,0,1923.08,76923.08,1,1,0,PortScan
2026-09-05 10:01:25,192.168.1.10,49164,10.0.0.1,80,6,115000,4,5,370,1100,78.26,12782.61,1,0,4,BENIGN
2026-09-05 10:01:30,192.168.1.11,49165,10.0.0.2,443,6,75000,6,8,530,3200,186.67,49733.33,1,0,7,BENIGN
2026-09-05 10:01:35,172.16.0.50,38108,10.0.0.2,21,6,470,1,0,40,0,2127.66,85106.38,1,1,0,PortScan
2026-09-05 10:01:38,172.16.0.50,38109,10.0.0.2,22,6,530,1,0,40,0,1886.79,75471.70,1,1,0,PortScan
2026-09-05 10:01:42,172.16.0.50,38110,10.0.0.2,80,6,1300,2,1,80,40,2307.69,92307.69,1,0,1,PortScan
2026-09-05 10:01:45,172.16.0.50,38111,10.0.0.2,443,6,1250,2,1,80,40,2400.0,96000.0,1,0,1,PortScan
